2020-05-30 05:34:48 status unpacked libxcb1:amd64 1.13.1-2
2020-05-30 05:34:48 status half-configured libxcb1:amd64 1.13.1-2
2020-05-30 05:34:48 status installed libxcb1:amd64 1.13.1-2
2020-05-30 05:34:48 configure libedit2:amd64 3.1-20181209-1 <none>
2020-05-30 05:34:48 status unpacked libedit2:amd64 3.1-20181209-1
2020-05-30 05:34:48 status half-configured libedit2:amd64 3.1-20181209-1
2020-05-30 05:34:48 status installed libedit2:amd64 3.1-20181209-1
2020-05-30 05:34:48 configure libnginx-mod-stream:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:48 status unpacked libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:48 status half-configured libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:49 status installed libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:49 configure libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1 <none>
2020-05-30 05:34:49 status unpacked libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
2020-05-30 05:34:49 status half-configured libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
